Unnamed: 0,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1923,1,26.0,0,2,23.0,2,1,2,3.0,0,3.0,1,1.0,1,5,0,1.0,1,17741.0
597,0,42.0,1,1,6.0,2,1,2,4.0,1,3.0,0,1.0,1,3,0,1.0,2,21062.0
4701,0,56.0,0,1,9.0,2,2,4,4.0,3,4.0,1,5.0,0,1,0,2.0,3,29654.0
4662,1,27.0,0,3,36.0,3,2,4,6.0,1,5.0,3,2.0,0,3,1,2.0,2,23647.0
2821,0,37.0,1,1,9.0,2,1,4,4.0,0,3.0,0,6.0,0,5,1,1.0,1,21221.0
2420,1,31.0,1,2,28.0,2,2,2,5.0,0,3.0,1,2.0,0,1,0,1.0,1,24852.0
1468,0,49.0,0,3,8.0,3,2,3,4.0,1,4.0,1,3.0,0,3,1,2.0,2,20390.0
1785,0,43.0,0,1,16.0,2,1,2,3.0,0,3.0,2,1.0,0,5,0,0.0,1,17455.0
4619,0,40.0,1,3,9.0,2,2,3,2.0,3,3.0,3,2.0,0,1,0,1.0,3,26558.0
2607,0,58.0,1,1,31.0,2,2,3,3.0,3,3.0,1,5.0,1,4,1,2.0,3,28117.0
2727,0,56.0,1,1,27.0,1,2,3,4.0,1,3.0,0,5.0,1,2,1,2.0,2,24093.0
401,0,56.0,0,3,12.0,2,1,2,2.0,4,5.0,0,1.0,0,3,1,0.0,0,28212.0
4876,1,52.0,1,3,34.0,2,2,3,4.0,1,3.0,2,3.0,1,5,1,2.0,2,32704.0
2352,0,36.0,1,1,7.0,1,1,3,5.0,3,5.0,1,3.0,1,1,1,0.0,3,25252.0
586,0,24.0,0,1,15.0,2,2,2,4.0,0,4.0,1,2.0,0,5,1,0.0,1,17694.0
702,0,30.0,1,3,14.0,2,2,3,3.0,3,3.0,1,6.0,0,3,1,0.0,3,22264.0
2404,1,25.0,1,1,15.0,2,2,2,3.0,0,5.0,2,4.0,0,1,1,0.0,1,17096.0
3462,0,37.0,1,1,11.0,2,2,3,5.0,1,3.0,3,3.0,0,5,1,2.0,2,24488.0
1983,1,20.0,1,1,16.0,3,2,2,3.0,0,3.0,2,2.0,1,5,1,1.0,1,16009.0
3370,0,44.0,1,3,11.0,3,1,3,5.0,3,3.0,2,5.0,0,3,1,1.0,3,28909.0
4573,0,29.0,1,3,12.0,3,2,4,4.0,1,3.0,3,3.0,0,3,0,2.0,2,23586.0
4525,0,36.0,1,1,14.0,2,2,3,4.0,3,3.0,2,5.0,0,3,0,2.0,3,28899.0
3180,0,49.0,1,1,11.0,2,2,4,5.0,3,3.0,2,2.0,0,5,1,2.0,3,29677.0
74,0,36.0,1,1,12.0,2,1,2,2.0,1,3.0,0,4.0,0,2,0,0.0,2,18038.0
4301,0,41.0,1,3,9.0,3,1,3,4.0,1,4.0,1,2.0,0,1,0,1.0,2,24393.0
3099,0,34.0,1,2,10.0,2,2,3,4.0,0,4.0,1,5.0,1,5,0,2.0,1,20955.0
2726,0,30.0,0,3,9.0,2,2,3,4.0,1,3.0,3,3.0,0,2,0,1.0,2,23232.0
311,0,45.0,0,1,13.0,2,2,3,3.0,3,5.0,1,2.0,0,2,1,2.0,3,20210.0
4197,0,56.0,1,1,27.0,1,2,3,4.0,1,3.0,1,5.0,1,1,0,1.0,2,24093.0
2197,0,18.0,0,1,11.0,2,2,3,3.0,0,3.0,2,2.0,0,1,0,1.0,1,16051.0
4218,0,40.0,1,1,7.0,3,2,3,2.0,3,3.0,1,2.0,0,3,1,1.0,3,28291.0
2032,1,33.0,1,1,6.0,2,2,3,3.0,0,3.0,2,2.0,1,3,1,0.0,1,17686.0
4252,0,31.0,1,3,12.0,3,1,2,5.0,1,3.0,1,3.0,0,1,1,1.0,2,24796.0
3271,0,29.0,0,1,13.0,2,2,3,5.0,0,3.0,1,3.0,1,4,1,1.0,1,21381.0
2332,0,44.0,0,1,23.0,2,2,3,5.0,0,3.0,2,3.0,0,4,1,1.0,1,17290.0
83,0,38.0,0,1,12.0,3,1,3,5.0,1,3.0,1,1.0,1,2,0,2.0,2,20329.0
2222,1,36.0,1,1,22.0,2,1,2,1.0,0,5.0,2,2.0,0,1,1,0.0,1,17743.0
1907,0,30.0,1,3,13.0,3,2,2,3.0,0,4.0,2,1.0,0,1,0,0.0,1,17983.0
273,0,37.0,1,3,12.0,3,2,3,3.0,1,3.0,0,5.0,0,3,0,0.0,2,21502.0
4266,0,49.0,1,3,36.0,3,1,4,4.0,3,3.0,1,5.0,0,4,0,2.0,3,31182.0
3857,0,26.0,1,1,9.0,2,2,3,4.0,0,3.0,1,8.0,1,5,0,1.0,1,22655.0
3503,0,36.0,1,3,14.0,2,2,4,4.0,0,3.0,0,3.0,0,3,1,1.0,1,21082.0
2505,0,39.0,0,1,36.0,2,1,3,4.0,1,3.0,2,3.0,0,3,1,1.0,2,21084.0
1985,0,35.0,0,1,9.0,2,2,2,4.0,0,3.0,1,2.0,0,1,1,1.0,1,16281.0
110,0,51.0,0,1,6.0,3,1,1,4.0,3,5.0,3,4.0,0,2,1,0.0,3,22484.0
1956,0,37.0,1,3,8.0,3,2,3,3.0,1,3.0,1,5.0,1,3,0,2.0,2,24602.0
4529,0,28.0,0,1,10.0,3,2,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,20384.0
2358,0,35.0,0,3,14.0,3,1,3,4.0,3,3.0,1,5.0,1,5,1,2.0,3,25377.0
3585,0,31.0,1,1,14.0,3,2,3,5.0,0,4.0,1,3.0,0,5,0,1.0,1,20819.0
1312,1,31.0,1,2,24.0,2,2,2,1.0,0,5.0,1,1.0,0,1,1,0.0,1,17956.0
3694,0,30.0,0,1,7.0,2,2,4,2.0,1,3.0,3,2.0,1,3,0,2.0,2,24972.0
1908,0,35.0,1,1,22.0,2,2,3,3.0,3,3.0,1,5.0,1,1,0,0.0,3,22632.0
4132,0,46.0,0,3,13.0,3,0,3,5.0,3,3.0,3,8.0,0,4,1,1.0,3,27543.0
4790,0,21.0,1,3,28.0,3,2,3,2.0,0,3.0,3,3.0,0,3,1,2.0,1,21356.0
545,0,30.0,1,3,33.0,3,2,2,3.0,1,3.0,1,1.0,0,3,1,0.0,2,20304.0
4273,0,37.0,0,3,10.0,3,2,3,5.0,3,3.0,1,6.0,0,1,0,1.0,3,28377.0
4458,0,48.0,0,3,10.0,3,1,3,4.0,4,3.0,1,2.0,1,5,1,1.0,0,32448.0
3868,0,36.0,1,1,16.0,3,2,3,4.0,1,3.0,3,3.0,0,4,0,2.0,2,23776.0
1377,0,49.0,0,1,8.0,2,2,2,3.0,2,3.0,1,4.0,0,3,1,0.0,4,34161.0
2164,0,33.0,1,1,6.0,2,1,2,4.0,1,3.0,3,1.0,0,4,1,1.0,2,21949.0
2593,0,20.0,1,1,10.0,3,1,4,4.0,0,4.0,2,3.0,0,3,1,3.0,1,20161.0
4559,1,30.0,1,3,7.0,3,1,3,5.0,0,3.0,1,8.0,1,1,1,2.0,1,21478.0
2710,0,32.0,1,1,30.0,3,2,4,5.0,1,3.0,0,2.0,0,3,1,2.0,2,24260.0
2065,1,58.0,1,1,8.0,2,2,2,3.0,2,4.0,2,1.0,1,3,1,0.0,4,34246.0
3373,0,29.0,0,1,9.0,2,2,3,5.0,0,3.0,0,3.0,1,4,1,1.0,1,22545.0
4083,0,33.0,1,1,13.0,2,2,3,4.0,0,3.0,3,5.0,0,1,0,2.0,1,21716.0
1621,0,35.0,1,3,6.0,3,2,3,3.0,3,4.0,1,2.0,0,4,0,0.0,3,22295.0
1911,0,42.0,0,1,11.0,2,2,3,3.0,0,3.0,1,5.0,0,3,0,1.0,1,17093.0
348,0,42.0,1,1,29.0,2,1,2,3.0,4,3.0,2,3.0,0,3,0,0.0,0,30992.0
901,0,48.0,1,1,8.0,1,2,3,1.0,0,4.0,2,6.0,0,2,0,2.0,1,17559.0
339,0,27.0,1,3,14.0,3,1,2,3.0,1,4.0,0,2.0,0,2,0,0.0,2,21214.0
2940,0,22.0,1,3,29.0,1,2,3,4.0,0,3.0,3,3.0,0,2,1,2.0,1,22125.0
780,1,28.0,0,1,30.0,1,2,3,4.0,3,5.0,3,2.0,0,2,0,0.0,3,23722.0
2830,0,38.0,1,1,21.0,2,1,4,4.0,0,5.0,1,3.0,0,4,1,1.0,1,21712.0
1515,1,41.0,1,1,18.0,1,1,2,3.0,2,3.0,1,2.0,0,4,1,1.0,4,34545.0
2191,0,50.0,1,1,30.0,2,2,3,3.0,4,3.0,1,4.0,1,4,1,2.0,0,28973.0
4671,0,35.0,1,3,7.0,3,2,4,2.0,1,3.0,1,2.0,0,5,0,2.0,2,28403.0
3175,1,21.0,1,1,18.0,3,1,4,5.0,0,5.0,3,3.0,1,3,0,2.0,1,21278.0
